Name,Price,Producer,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics
"Gigabyte AX370-Gaming K5, AMD X370-",$142.6,Gigabyte,AM4,X370,True,ATX,DDR4,64 GB,4,8,0.0,0.0,0.0,0.0,False,False
"Gigabyte X470 Aorus Ultra Gaming, AMD X470",$144.85,Gigabyte,AM4,X470,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,0.0,False,False
Asus TUF X470-PLUS GAMING,$152.89,Asus,AM4,X470,True,ATX,DDR4,64 GB,4,6,,1.0,,1.0,False,False
Asus PRIME X470-PRO,$153.55,Asus,AM4,X470,True,ATX,DDR4,64 GB,4,6,,,1.0,1.0,False,False
"Gigabyte AB350-Gaming 3, AMD B350",$154.58,Gigabyte,AM4,B350,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,0.0,False,False
"MSI B450 Gaming Plus Max, AMD B450",$159.57,MSI,AM4,B450,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,1.0,False,False
"Gigabyte AX370-Gaming 5, AMD X370",$160.76,Gigabyte,AM4,X370,True,ATX,DDR4,64 GB,4,4,0.0,0.0,0.0,0.0,False,False
"ASRock X370 Taichi, AMD X370",$163.45,ASRock,AM4,X370,True,ATX,DDR4,64 GB,4,8,0.0,0.0,0.0,0.0,False,False
"ASRock X470 Fatal1ty Gaming K4, AMD X470",$165.23,ASRock,AM4,X470,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,0.0,False,False
Asus PRIME B450-PLUS,$170.39,Asus,AM4,B450,True,ATX,DDR4,64 GB,4,6,,1.0,,1.0,False,False
Gigabyte X470 Aorus Gaming 5 WiFi,$174.08,Gigabyte,AM4,X470,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,0.0,False,False
Asus ROG STRIX X470-F GAMING,$180.94,Asus,AM4,X470,True,ATX,DDR4,64 GB,4,6,,,1.0,1.0,False,False
MSI X370 Xpower Gaming Titanium,$181.34,MSI,AM4,X370,True,ATX,DDR4,64 GB,4,5,0.0,0.0,0.0,0.0,False,False
Asus ROG CROSSHAIR VI HERO,$190.14,Asus,AM4,X370,True,ATX,DDR4,64 GB,4,8,,,,,False,False
Asus ROG STRIX X370-F GAMING,$194.39,Asus,AM4,X370,True,ATX,DDR4,64 GB,4,8,,,1.0,1.0,False,False
Asus ROG CROSSHAIR VII HERO,$197.16,Asus,AM4,X470,True,ATX,DDR4,64 GB,4,6,,,,,False,False
Gigabyte X470 Aorus Gaming 7 WiFi,$210.35,Gigabyte,AM4,X470,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,0.0,False,False
"ASRock X370 Professional Gaming, AMD X370",$210.45,ASRock,AM4,X370,True,ATX,DDR4,64 GB,4,8,0.0,0.0,0.0,0.0,False,False
"ASRock X470 Taichi, AMD X470",$213.3,ASRock,AM4,X470,True,ATX,DDR4,64 GB,4,8,0.0,0.0,0.0,0.0,False,False
"Gigabyte AX370-Gaming K7, AMD X370",$231.09,Gigabyte,AM4,X370,True,ATX,DDR4,64 GB,4,8,0.0,0.0,0.0,0.0,False,False
Asus ROG CROSSHAIR VI HERO (WI-FI AC),$236.42,Asus,AM4,X370,True,ATX,DDR4,64 GB,4,8,,,,,False,False
"ASRock X470 Taichi Ultimate, AMD X470",$304.65,ASRock,AM4,X470,True,ATX,DDR4,64 GB,4,8,0.0,0.0,0.0,0.0,False,False
Asus PRIME A320M-A,$73.28,Asus,AM4,A320,False,ATX,DDR4,64 GB,4,6,1.0,1.0,,1.0,False,False
MSI B450-A Pro,$87.04,MSI,AM4,B450,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,1.0,False,False
"ASRock B450 Pro 4, AMD B450",$87.04,ASRock,AM4,B450,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,1.0,False,False
"ASRock B450 Gaming K4, AMD B450",$90.66,ASRock,AM4,B450,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,1.0,False,False
"MSI B450-A Pro Max, AMD B450-, socket AM4",$94.29,MSI,AM4,B450,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,0.0,False,False
"ASRock AB350 Pro4 BTC, AMD B350",$98.78,ASRock,AM4,B350,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,0.0,False,False
MSI Pro X670-P Wifi,$203.1,MSI,AM5,X670E,False,ATX,DDR5,128 GB,4,6,0.0,0.0,2.0,1.0,True,False
ASUS ROG Crosshair X670E Hero,$645.58,ASUS,AM5,X670E,False,ATX,DDR5,128 GB,4,6,0.0,0.0,1.0,0.0,True,False
MSI MEG Z490 Godlike,$652.83,MSI,1200,Z490,True,E-ATX,DDR4,128 GB,4,6,0.0,0.0,0.0,0.0,True,False
ASUS ROG MAXIMUS Z690 EXTREME,$1077.18,ASUS,1700,Z690,True,E-ATX,DDR5,128 GB,4,6,0.0,0.0,0.0,1.0,True,False
"MSI MEG X570 Godlike, AMD X570",$762.33,MSI,AM4,X570,True,E-ATX,DDR4,128 GB,4,6,0.0,0.0,0.0,0.0,False,False
"MSI Prestige X570 Creation, AMD X570",$826.16,MSI,AM4,X570,True,E-ATX,DDR4,128 GB,4,6,0.0,0.0,0.0,0.0,False,False
Asus ROG CROSSHAIR VI EXTREME,$250.25,Asus,AM4,X370,True,E-ATX,DDR4,64 GB,4,8,,,,,False,False
GIGABYTE X670E AORUS Master,$463.5,Gigabyte,AM5,X670E,False,E-ATX,DDR5,128 GB,4,6,0.0,0.0,1.0,1.0,True,False
