Name,Price,Producer,Length,Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,Boost Clock,Vram,Memory Clock,TDP
EVGA GeForce RTX 2070 Super FTW3 Ultra+,$677.64,EVGA,302 mm,2.75,2,0,1,3,0,1815 MHz,8 GB,15500 MHz,215 W
EVGA GeForce RTX 2080 Super Black Gaming,$725.37,EVGA,269.83 mm,2.0,1,1,1,3,0,1815 MHz,8 GB,15500 MHz,250 W
EVGA GeForce RTX 2080 Super KO Gaming,$732.46,EVGA,269.83 mm,2.0,1,1,1,3,0,1815 MHz,8 GB,15500 MHz,250 W
ZOTAC GAMING GeForce RTX 2080 Super Twin Fan,$734.17,ZOTAC,268 mm,2.0,1,1,1,3,0,1815 MHz,8 GB,15500 MHz,250 W
Gigabyte GeForce RTX 2080 Super Gaming OC White,$736.65,Gigabyte,286.5 mm,2.5,1,1,1,3,0,1845 MHz,8 GB,15500 MHz,250 W
Gigabyte GeForce RTX 2080 Super Turbo,$752.93,Gigabyte,272 mm,2.0,1,1,1,3,0,1815 MHz,8 GB,15500 MHz,250 W
EVGA GeForce RTX 2080 Super XC Gaming,$754.38,EVGA,269.83 mm,2.0,1,1,0,3,0,1830 MHz,8 GB,15500 MHz,250 W
ZOTAC GAMING GeForce RTX 2080 Super AMP,$778.92,ZOTAC,298 mm,2.0,2,0,1,3,0,1825 MHz,8 GB,15500 MHz,250 W
Gigabyte Aorus GeForce RTX 2080 Super Waterforce WB,$800.08,Gigabyte,291.29 mm,2.0,2,0,3,3,0,1860 MHz,8 GB,15500 MHz,250 W
Gigabyte Aorus GeForce RTX 2080 Super,$817.8,Gigabyte,290 mm,,2,0,0,0,0,1860 MHz,8 GB,15500 MHz,250 W
EVGA GeForce RTX 2080 Super XC Hybrid Gaming,$825.47,EVGA,265.63 mm,2.0,1,1,1,3,0,1830 MHz,8 GB,15500 MHz,250 W
EVGA GeForce RTX 2080 Super FTW3 Hybrid,$830.55,EVGA,290.83 mm,2.0,2,0,1,3,0,1845 MHz,8 GB,15500 MHz,250 W
Gigabyte Aorus GeForce RTX 2080 Super Waterforce,$879.82,Gigabyte,290 mm,2.0,2,0,3,3,0,1860 MHz,8 GB,15500 MHz,250 W
MSI Radeon RX 6600 XT Mech 2X,$340.92,MSI,235 mm,2.0,1,0,1,3,0,MHz,8 GB,16000 MHz,160 W
MSI GeForce RTX 4060 Gaming X,$304.64,MSI,247 mm,2.5,1,0,1,3,0,2595 MHz,8 GB,17000 MHz,115 W
MSI Radeon RX 7600 Mech 2X Classic 8G OC,$253.14,MSI,235 mm,,1,0,1,3,0,2695 MHz,8 GB,18000 MHz,165 W
Sapphire Pulse Radeon RX 7600 Gaming,$275.64,SAPPHIRE,240 mm,2.0,1,0,1,3,0,2754 MHz,8 GB,18000 MHz,165 W
GIGABYTE GeForce RTX 4060 Ti Eagle,$398.22,Gigabyte,272 mm,2.0,1,0,2,2,0,2535 MHz,8 GB,18000 MHz,160 W
ZOTAC Gaming GeForce RTX 4060 Ti Twin Edge OC SPIDER-MAN™ Across the Spider-Verse,$413.46,ZOTAC,225.5 mm,2.2,1,0,1,3,0,2550 MHz,8 GB,18000 MHz,160 W
MSI GeForce RTX 4060 Ti Gaming X,$427.96,MSI,247 mm,2.0,1,0,1,3,0,2640 MHz,8 GB,18000 MHz,160 W
GIGABYTE GeForce RTX 4060 Ti Gaming OC,$435.22,Gigabyte,281 mm,2.0,1,0,2,2,0,2535 MHz,8 GB,18000 MHz,160 W
MSI GeForce RTX 4060 Ti Ventus 2X Black 8G OC,$509.98,MSI,199 mm,2.5,1,0,1,3,0,2565 MHz,8 GB,18000 MHz,160 W
Gigabyte GeForce RTX 3070 Ti Master,$1034.26,Gigabyte,324 mm,3.5,2,1,3,3,0,1875 MHz,8 GB,19000 MHz,290 W
MSI GeForce RTX 3070 Ti Ventus 3X 8G OC LHR,$660.08,MSI,316 mm,2.75,2,0,1,3,0,1800 MHz,8 GB,19000 MHz,290 W
MSI GeForce RTX 3070 Ti Gaming X Trio,$716.38,MSI,323 mm,2.75,2,0,1,3,0,1830 MHz,8 GB,19000 MHz,310 W
