Name,Price,Producer,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics
Asus PRIME X470-PRO,$153.55,Asus,AM4,X470,TRUE,ATX,DDR4,64 GB,4,6,,,1,1,FALSE,FALSE
"Gigabyte AB350-Gaming 3, AMD B350",$154.58,Gigabyte,AM4,B350,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE
"MSI B450 Gaming Plus Max, AMD B450",$159.57,MSI,AM4,B450,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,1,FALSE,FALSE
"Gigabyte AX370-Gaming 5, AMD X370",$160.76,Gigabyte,AM4,X370,TRUE,ATX,DDR4,64 GB,4,4,0,0,0,0,FALSE,FALSE
"ASRock X370 Taichi, AMD X370",$163.45,ASRock,AM4,X370,TRUE,ATX,DDR4,64 GB,4,8,0,0,0,0,FALSE,FALSE
"ASRock X470 Fatal1ty Gaming K4, AMD X470",$165.23,ASRock,AM4,X470,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE
Asus PRIME B450-PLUS,$170.39,Asus,AM4,B450,TRUE,ATX,DDR4,64 GB,4,6,,1,,1,FALSE,FALSE
Gigabyte X470 Aorus Gaming 5 WiFi,$174.08,Gigabyte,AM4,X470,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE
Asus ROG STRIX X470-F GAMING,$180.94,Asus,AM4,X470,TRUE,ATX,DDR4,64 GB,4,6,,,1,1,FALSE,FALSE
MSI X370 Xpower Gaming Titanium,$181.34,MSI,AM4,X370,TRUE,ATX,DDR4,64 GB,4,5,0,0,0,0,FALSE,FALSE
Asus ROG CROSSHAIR VI HERO,$190.14,Asus,AM4,X370,TRUE,ATX,DDR4,64 GB,4,8,,,,,FALSE,FALSE
Asus ROG STRIX X370-F GAMING,$194.39,Asus,AM4,X370,TRUE,ATX,DDR4,64 GB,4,8,,,1,1,FALSE,FALSE
Asus ROG CROSSHAIR VII HERO,$197.16,Asus,AM4,X470,TRUE,ATX,DDR4,64 GB,4,6,,,,,FALSE,FALSE
Gigabyte X470 Aorus Gaming 7 WiFi,$210.35,Gigabyte,AM4,X470,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE
"ASRock X370 Professional Gaming, AMD X370",$210.45,ASRock,AM4,X370,TRUE,ATX,DDR4,64 GB,4,8,0,0,0,0,FALSE,FALSE
"ASRock X470 Taichi, AMD X470",$213.3,ASRock,AM4,X470,TRUE,ATX,DDR4,64 GB,4,8,0,0,0,0,FALSE,FALSE
"Gigabyte AX370-Gaming K7, AMD X370",$231.09,Gigabyte,AM4,X370,TRUE,ATX,DDR4,64 GB,4,8,0,0,0,0,FALSE,FALSE
Asus ROG CROSSHAIR VI HERO (WI-FI AC),$236.42,Asus,AM4,X370,TRUE,ATX,DDR4,64 GB,4,8,,,,,FALSE,FALSE
"ASRock X470 Taichi Ultimate, AMD X470",$304.65,ASRock,AM4,X470,TRUE,ATX,DDR4,64 GB,4,8,0,0,0,0,FALSE,FALSE
